CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C16198,4507.000722,1.0,7394.18,2288.2,5105.98,5424.701791,1.0,0.916667,1.0,0.833333,40,130,11000.0,10460.87946,1076.5895,0.0,12
C10534,2549.128288,1.0,13771.63,4503.31,9268.32,0.0,1.0,0.5,1.0,0.0,0,83,14500.0,16826.42443,451.636081,0.25,12
C13028,1061.439175,1.0,0.0,0.0,0.0,137.757459,0.0,0.0,0.0,0.083333,1,0,1200.0,446.265741,238.961902,0.0,12
C16443,40.607669,1.0,479.0,80.0,399.0,0.0,0.916667,0.083333,0.666667,0.0,0,14,2000.0,389.241521,141.850602,0.8,12
C11512,4146.527042,1.0,178.0,178.0,0.0,764.579554,0.083333,0.083333,0.0,0.333333,4,1,8500.0,911.108606,1571.782709,0.0,12
C11458,972.665818,1.0,10549.19,9180.41,1368.78,0.0,1.0,1.0,1.0,0.0,0,248,9000.0,10114.18854,209.881639,1.0,12
C13992,1184.924492,0.9,306.0,234.0,72.0,1314.443111,0.4,0.2,0.3,0.2,8,7,3000.0,500.833154,672.890662,0.0,10
C16701,19.516936,0.090909,851.0,851.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,5000.0,9821.138115,,0.0,12
C18785,293.125181,1.0,2812.69,2512.69,300.0,0.0,0.75,0.75,0.083333,0.0,0,27,1000.0,2420.213,150.059679,0.833333,12
C18582,1678.5937,1.0,1846.81,1846.81,0.0,0.0,0.625,0.625,0.0,0.0,0,18,3500.0,350.646998,297.503609,0.0,8
C12794,783.550476,0.777778,175.8,175.8,0.0,2052.878473,0.444444,0.444444,0.0,0.444444,6,5,2500.0,1647.886436,219.384407,0.0,9
C11604,1209.733106,1.0,1298.56,169.9,1128.66,0.0,1.0,0.083333,1.0,0.0,0,47,1200.0,1558.812198,1543.178369,0.0,12
C18951,113.563652,1.0,729.6,0.0,729.6,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,596.539738,176.463251,0.545455,12
C17629,36.979201,0.181818,0.0,0.0,0.0,4262.120108,0.0,0.0,0.0,0.166667,2,0,2500.0,22099.47812,173.24367,0.0,12
C17522,1609.514614,1.0,0.0,0.0,0.0,136.209339,0.0,0.0,0.0,0.083333,2,0,1700.0,277.622861,705.401828,0.0,12
C17271,91.597667,1.0,947.97,0.0,947.97,0.0,1.0,0.0,1.0,0.0,0,28,5000.0,876.723841,164.622858,0.833333,12
C12310,3797.995726,1.0,0.0,0.0,0.0,17278.53864,0.0,0.0,0.0,0.833333,56,0,12000.0,15884.69746,1078.537276,0.166667,12
C16585,46.103924,0.818182,443.25,443.25,0.0,0.0,0.25,0.25,0.0,0.0,0,3,6500.0,417.350534,93.536782,0.0,12
C12147,1998.339616,1.0,2238.0,1170.0,1068.0,0.0,0.75,0.583333,0.416667,0.0,0,22,6500.0,1985.047114,464.932133,0.0,12
C11833,57.416262,1.0,685.0,0.0,685.0,0.0,1.0,0.0,0.916667,0.0,0,12,1200.0,559.813964,198.618741,0.333333,12
C19098,2330.222764,1.0,1320.0,0.0,1320.0,14926.79059,0.428571,0.0,0.285714,0.571429,10,3,10000.0,8157.666434,283.362434,0.2,7
C10929,6366.085376,0.818182,407.86,307.8,100.06,14827.30716,0.083333,0.083333,0.083333,0.166667,2,5,12500.0,5722.548016,1746.966239,0.0,12
C18001,58.603273,0.181818,2080.51,2080.51,0.0,0.0,0.166667,0.166667,0.0,0.0,0,7,2500.0,1965.056445,14.242628,0.0,12
C16060,2643.019532,1.0,554.38,191.13,363.25,0.0,1.0,0.25,0.916667,0.0,0,15,8000.0,681.881907,882.049542,0.0,12
C18377,6.260598,0.545455,35.0,35.0,0.0,18.280043,0.083333,0.083333,0.0,0.083333,1,1,1000.0,110.318859,59.475914,0.333333,12
C14536,1064.872909,0.363636,0.0,0.0,0.0,3358.172644,0.0,0.0,0.0,0.25,8,0,10500.0,20740.15941,671.319778,0.25,12
C16703,38.086857,0.545455,447.78,0.0,447.78,0.0,0.416667,0.0,0.416667,0.0,0,6,4000.0,757.855943,143.5366,1.0,12
C18301,2676.253141,0.909091,0.0,0.0,0.0,2832.570661,0.0,0.0,0.0,0.083333,2,0,3000.0,0.0,,0.0,12
C13499,434.71366,1.0,1971.57,450.94,1520.63,0.0,0.583333,0.25,0.5,0.0,0,24,6700.0,616.189722,223.258848,0.0,12
C13932,26.034907,0.636364,299.79,0.0,299.79,0.0,0.333333,0.0,0.25,0.0,0,4,7500.0,308.31669,86.667034,0.3,12
C14175,1539.375352,1.0,100.0,100.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,3000.0,420.283303,450.302969,0.0,12
C16233,951.309137,1.0,137.03,137.03,0.0,1171.933912,0.111111,0.111111,0.0,0.111111,2,3,1200.0,312.729653,269.716306,0.0,9
C12296,619.974954,1.0,1219.39,464.39,755.0,4473.3497,0.666667,0.166667,0.416667,0.25,8,8,2000.0,4115.217914,382.658882,0.25,12
C11396,7886.875682,1.0,968.26,734.32,233.94,3528.821853,0.916667,0.916667,0.416667,0.416667,15,35,9500.0,2016.609163,2885.44844,0.0,12
C17092,720.995394,0.909091,547.46,457.46,90.0,455.540479,0.909091,0.636364,0.454545,0.363636,13,23,900.0,315.918387,544.286252,0.0,11
C14057,138.596394,1.0,1333.9,663.9,670.0,0.0,0.75,0.583333,0.333333,0.0,0,14,7500.0,1000.797013,142.442556,0.333333,12
C17782,738.067431,1.0,752.97,752.97,0.0,0.0,0.666667,0.666667,0.0,0.0,0,11,2500.0,1393.051729,282.663936,0.0,12
C11936,1247.423771,1.0,0.0,0.0,0.0,503.562164,0.0,0.0,0.0,0.166667,3,0,1500.0,721.897274,273.128967,0.0,12
C16770,1125.697524,1.0,0.0,0.0,0.0,504.069794,0.0,0.0,0.0,0.5,8,0,1200.0,599.233796,625.024705,0.0,12
C10785,5499.895765,1.0,0.0,0.0,0.0,485.269985,0.0,0.0,0.0,0.333333,6,0,6000.0,1445.294493,2703.217084,0.0,12
C18229,2162.267501,1.0,151.13,151.13,0.0,1005.55853,0.166667,0.166667,0.0,0.166667,3,3,2500.0,466.376831,619.460541,0.0,12
C10387,8.520292,0.545455,64.12,64.12,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,7000.0,176.600545,76.462301,0.0,12
C12658,234.183227,1.0,617.3,169.8,447.5,282.667958,0.916667,0.166667,0.75,0.25,4,12,2500.0,1436.234437,169.80316,0.25,12
C16214,2526.089973,1.0,3074.81,1797.85,1276.96,911.367983,1.0,0.666667,1.0,0.166667,3,28,5500.0,2405.281559,660.502814,0.0,12
C11416,73.507271,1.0,890.45,890.45,0.0,0.0,1.0,1.0,0.0,0.0,0,17,8500.0,999.607298,171.602356,0.363636,12
C15994,649.896506,1.0,4919.76,4353.06,566.7,191.376535,0.916667,0.666667,0.833333,0.166667,3,48,6500.0,4854.34051,219.441278,0.166667,12
C13142,84.783684,1.0,203.6,0.0,203.6,0.0,0.666667,0.0,0.666667,0.0,0,8,1500.0,206.472169,166.325041,0.0,12
C13524,1965.881663,1.0,3782.09,2450.0,1332.09,0.0,0.833333,0.083333,0.666667,0.0,0,11,1800.0,3988.944816,2687.313856,0.083333,12
C15892,124.506347,1.0,1194.54,1194.54,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,7500.0,961.895302,169.006513,1.0,12
C11740,117.617134,1.0,1081.23,100.0,981.23,0.0,0.916667,0.083333,0.833333,0.0,0,29,2100.0,1024.806886,173.322076,1.0,12
C18815,417.444057,0.666667,0.0,0.0,0.0,708.715173,0.0,0.0,0.0,0.333333,7,0,1200.0,27.397306,118.174297,0.0,6
C19161,1055.087681,0.666667,0.0,0.0,0.0,1820.1162,0.0,0.0,0.0,0.333333,2,0,2000.0,54.795084,233.22987,0.0,6
C12816,45.625764,0.545455,0.0,0.0,0.0,385.950518,0.0,0.0,0.0,0.25,3,0,10000.0,256.794478,116.200667,0.1,12
C11900,915.717703,1.0,55.49,0.0,55.49,0.0,0.416667,0.0,0.416667,0.0,0,7,1000.0,1221.513652,10800.04619,0.083333,12
C10422,1874.843394,1.0,0.0,0.0,0.0,120.178123,0.0,0.0,0.0,0.083333,1,0,2100.0,444.783009,671.420908,0.0,12
C15566,485.507827,0.875,0.0,0.0,0.0,455.227731,0.0,0.0,0.0,0.125,1,0,2000.0,794.426157,116.202264,0.0,8
C14573,2305.006202,1.0,0.0,0.0,0.0,370.248624,0.0,0.0,0.0,0.166667,2,0,2500.0,624.147899,699.416582,0.0,12
C16247,5063.070919,1.0,2742.33,517.3,2225.03,367.915403,0.916667,0.75,0.916667,0.083333,1,31,7500.0,11263.92185,3417.459191,0.083333,12
C12449,152.227891,1.0,946.0,536.0,410.0,0.0,0.75,0.25,0.416667,0.0,0,18,6500.0,804.255916,169.229664,0.2,12
C14387,420.215198,1.0,1681.1,834.8,846.3,0.0,0.916667,0.5,0.833333,0.0,0,20,2400.0,758.24314,156.101823,0.181818,12
C18232,449.733124,1.0,788.58,0.0,788.58,0.0,0.666667,0.0,0.666667,0.0,0,21,3000.0,419.35193,195.196969,0.0,12
C16290,2339.150068,1.0,502.63,502.63,0.0,2098.738085,0.285714,0.285714,0.0,0.285714,3,4,6000.0,539.450103,332.702117,0.0,7
C14900,10.358325,0.454545,98.83,98.83,0.0,0.0,0.454545,0.454545,0.0,0.0,0,5,7000.0,116.299635,145.320085,0.666667,11
C10311,3621.70204,1.0,674.73,674.73,0.0,1684.957411,0.25,0.25,0.0,0.166667,8,12,4000.0,1139.058595,1403.477006,0.0,12
C13801,1092.570471,1.0,624.36,0.0,624.36,0.0,1.0,0.0,1.0,0.0,0,24,1000.0,653.319911,1210.133021,0.0,12
C18663,139.396168,0.545455,290.0,290.0,0.0,1128.392928,0.083333,0.083333,0.0,0.333333,4,1,1000.0,2988.236538,169.978474,0.0,12
C12728,1517.559661,1.0,0.0,0.0,0.0,456.396077,0.0,0.0,0.0,0.166667,2,0,1950.0,473.175712,381.272303,0.0,12
C18959,1056.267818,0.909091,0.0,0.0,0.0,1450.812947,0.0,0.0,0.0,0.166667,8,0,1500.0,1909.972695,415.089844,0.111111,12
C13063,1611.720259,1.0,955.59,873.85,81.74,0.0,0.916667,0.916667,0.083333,0.0,0,19,5000.0,703.220116,457.013405,0.0,12
C13820,142.833472,1.0,1400.18,85.0,1315.18,0.0,0.916667,0.083333,0.833333,0.0,0,22,3000.0,1575.110682,154.612528,0.636364,12
C17436,876.008428,1.0,500.0,0.0,500.0,182.955711,0.333333,0.0,0.333333,0.083333,1,4,1200.0,510.340741,317.670219,0.0,12
C16664,16.848358,1.0,103.08,0.0,103.08,0.0,0.333333,0.0,0.25,0.0,0,4,2900.0,0.0,,0.0,12
C13535,122.062129,1.0,924.69,422.0,502.69,0.0,0.5,0.083333,0.416667,0.0,0,11,6300.0,789.33314,164.279979,0.363636,12
C14828,4070.500764,0.833333,710.8,140.0,570.8,4620.069456,0.833333,0.166667,0.666667,0.166667,11,16,4900.0,364.205524,3231.905456,0.0,6
C14759,244.653051,1.0,1181.03,607.4,573.63,0.0,0.666667,0.166667,0.666667,0.0,0,15,4500.0,1047.448996,181.476998,0.5,12
C10959,179.290727,1.0,2540.9,1234.77,1306.13,0.0,0.916667,0.833333,0.916667,0.0,0,30,5000.0,2478.954766,168.750901,1.0,12
C17395,1258.725885,1.0,0.0,0.0,0.0,4353.620039,0.0,0.0,0.0,0.583333,21,0,3000.0,4229.128226,369.442361,0.166667,12
C18367,2483.739581,0.9,0.0,0.0,0.0,2923.8863,0.0,0.0,0.0,0.1,1,0,3500.0,312.473159,1138.177921,0.0,10
C11945,3171.17541,1.0,109.16,0.0,109.16,4586.702891,0.083333,0.0,0.083333,0.333333,10,1,6000.0,598.08223,1307.447265,0.0,12
C19162,3.417407,0.5,57.42,0.0,57.42,0.0,1.0,0.0,0.833333,0.0,0,6,1500.0,68.462579,20.714869,0.0,6
C16627,218.280031,1.0,939.14,939.14,0.0,0.0,0.727273,0.727273,0.0,0.0,0,8,5000.0,969.130835,168.33379,0.0,11
C15939,473.807764,0.818182,546.94,0.0,546.94,0.0,1.0,0.0,1.0,0.0,0,19,7000.0,1612.129418,121.996148,0.0,12
C14485,3541.769505,1.0,0.0,0.0,0.0,2238.32876,0.0,0.0,0.0,0.416667,10,0,15500.0,899.712442,773.302151,0.0,12
C10463,51.818382,0.454545,903.36,903.36,0.0,0.0,0.25,0.25,0.0,0.0,0,6,15000.0,538.841222,41.302445,0.0,12
C14729,992.615052,1.0,162.28,0.0,162.28,0.0,0.5,0.0,0.5,0.0,0,6,1000.0,333.663574,462.345834,0.0,12
C13613,190.650694,1.0,1954.08,776.49,1177.59,0.0,1.0,0.583333,1.0,0.0,0,64,4000.0,2012.696604,177.147238,1.0,12
C18048,968.188634,1.0,69.44,0.0,69.44,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,251.875749,443.131452,0.0,12
C15680,269.406382,1.0,2629.96,2006.57,623.39,0.0,0.75,0.416667,0.583333,0.0,0,19,2200.0,1936.724441,202.619118,0.416667,12
C10868,129.3741,1.0,1102.72,0.0,1102.72,0.0,1.0,0.0,1.0,0.0,0,15,4000.0,1123.51632,178.44023,0.833333,12
C12104,1178.90161,1.0,150.0,0.0,150.0,0.0,0.416667,0.0,0.333333,0.0,0,5,1200.0,360.303696,410.225607,0.0,12
C17799,954.617658,1.0,0.0,0.0,0.0,808.545456,0.0,0.0,0.0,0.333333,4,0,2000.0,228.635319,398.358635,0.0,12
C17065,9.153671,0.272727,126.6,0.0,126.6,0.0,0.5,0.0,0.416667,0.0,0,6,2900.0,134.386353,46.037748,0.0,12
C18962,1374.266113,1.0,1814.3,1596.8,217.5,0.0,0.666667,0.333333,0.416667,0.0,0,10,6500.0,2668.399516,413.987806,0.0,12
C13658,663.415354,1.0,608.18,608.18,0.0,929.641923,0.333333,0.333333,0.0,0.25,9,6,2700.0,614.998015,237.022164,0.0,12
C10326,185.396312,1.0,0.0,0.0,0.0,842.456926,0.0,0.0,0.0,0.363636,7,0,1000.0,117.542764,137.6915,0.0,11
C16776,917.531824,1.0,0.0,0.0,0.0,1273.778445,0.0,0.0,0.0,0.083333,1,0,1600.0,1498.695114,331.493084,0.083333,12
C12760,142.278809,0.909091,164.68,32.74,131.94,0.0,0.833333,0.083333,0.666667,0.0,0,10,2500.0,539.762925,141.426265,0.0,12
C13555,2075.637866,0.454545,0.0,0.0,0.0,4573.876388,0.0,0.0,0.0,0.083333,1,0,7500.0,1146.220278,1448.097316,0.0,12
C15058,1871.597836,1.0,3220.25,208.49,3011.76,2367.006699,0.833333,0.166667,0.75,0.416667,15,28,5500.0,448.564207,559.391166,0.0,12
C15376,1155.338824,0.909091,5744.03,4055.8,1688.23,0.0,0.5,0.083333,0.416667,0.0,0,11,6000.0,3684.789911,328.151043,0.0,12
C13414,790.367002,1.0,3663.31,2744.88,918.43,0.0,1.0,1.0,0.833333,0.0,0,70,5000.0,4232.922974,250.545557,0.0,12
C15242,1785.90226,1.0,0.0,0.0,0.0,129.421992,0.0,0.0,0.0,0.166667,4,0,1800.0,287.777315,9294.994141,0.0,12
C15086,2980.628942,1.0,1352.52,1352.52,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,10000.0,782.875155,760.415003,0.0,12
C12173,84.067421,1.0,852.26,265.92,586.34,0.0,1.0,1.0,0.25,0.0,0,20,18500.0,643.541055,181.197901,0.916667,12
C15618,1502.517905,1.0,266.64,0.0,266.64,0.0,0.727273,0.0,0.636364,0.0,0,8,1500.0,318.73308,792.01288,0.0,11
C10717,318.186198,1.0,3548.64,2949.37,599.27,0.0,1.0,0.916667,1.0,0.0,0,51,20000.0,3908.960912,199.621137,1.0,12
C18780,78.821949,1.0,1333.75,964.72,369.03,0.0,1.0,0.583333,0.583333,0.0,0,18,1000.0,1266.894805,146.630282,0.888889,12
C10631,6787.661776,1.0,99.5,0.0,99.5,7726.511679,0.833333,0.0,0.75,0.416667,10,10,8000.0,1775.13958,2293.582697,0.0,12
C12557,818.310935,0.545455,1071.8,1020.0,51.8,752.292181,0.333333,0.25,0.166667,0.166667,3,6,2500.0,4763.080391,751.737661,0.2,12
C15273,153.637431,1.0,1495.41,941.41,554.0,0.0,1.0,1.0,0.25,0.0,0,26,4500.0,1345.989788,163.177278,0.727273,12
C17288,38.251194,1.0,368.84,0.0,368.84,0.0,0.5,0.0,0.416667,0.0,0,6,3000.0,417.861072,109.747646,0.333333,12
C10322,1329.967543,1.0,2009.12,1296.68,712.44,1763.794583,1.0,1.0,1.0,0.25,10,36,2500.0,2715.972095,956.330023,0.0,12
C14052,95.597121,1.0,101.97,101.97,0.0,97.921034,0.25,0.25,0.0,0.166667,3,3,3000.0,306.960201,174.329733,0.0,12
C10201,3983.923705,1.0,756.54,756.54,0.0,0.0,0.5,0.5,0.0,0.0,0,15,4000.0,1110.870941,1431.201171,0.0,12
C10966,3122.171879,1.0,974.3,712.3,262.0,189.408446,0.75,0.583333,0.416667,0.416667,5,21,3000.0,1520.760286,2019.977973,0.0,12
C14936,105.385636,1.0,1536.31,344.91,1191.4,0.0,0.666667,0.166667,0.416667,0.0,0,8,3000.0,1639.344093,161.467632,0.625,12
C12043,2675.418129,1.0,55.0,55.0,0.0,315.402389,0.083333,0.083333,0.0,0.25,3,1,3000.0,579.527874,1323.695647,0.0,12
C15960,261.946133,0.909091,1215.64,145.0,1070.64,0.0,0.5,0.166667,0.416667,0.0,0,15,6500.0,573.280563,285.852332,0.0,12
C15482,3028.512053,1.0,0.0,0.0,0.0,353.51025,0.0,0.0,0.0,0.583333,10,0,3000.0,820.085077,1187.871281,0.0,12
C12553,3.847042,0.5,182.08,0.0,182.08,0.0,1.0,0.0,0.875,0.0,0,8,1500.0,191.067061,54.734326,0.5,8
C16780,2433.487018,1.0,0.0,0.0,0.0,348.296735,0.0,0.0,0.0,0.272727,6,0,2500.0,527.171985,1097.372571,0.0,11
C12072,497.726827,1.0,1234.5,653.0,581.5,0.0,0.583333,0.333333,0.416667,0.0,0,14,3000.0,206.102367,382.086744,0.0,12
C10691,2331.38017,1.0,1919.66,1310.9,608.76,0.0,0.916667,0.416667,0.75,0.0,0,34,6000.0,6725.483653,609.161536,0.0,12
C11849,1127.607606,1.0,0.0,0.0,0.0,271.093275,0.0,0.0,0.0,0.083333,1,0,8500.0,662.387331,260.277533,0.0,12
C12039,4333.59727,1.0,333.08,333.08,0.0,72.049232,0.416667,0.416667,0.0,0.083333,1,7,12500.0,1113.279765,1634.9904,0.0,12
C11332,5858.617133,1.0,2761.41,2484.65,276.76,0.0,1.0,0.666667,0.666667,0.0,0,24,11000.0,1919.207449,1365.627377,0.0,12
C14823,268.797746,1.0,70.0,0.0,70.0,0.0,0.5,0.0,0.416667,0.0,0,6,1000.0,105.954038,229.157988,0.0,12
C11034,2022.469335,1.0,22.5,0.0,22.5,0.0,0.416667,0.0,0.416667,0.0,0,5,10000.0,2062.495163,435.662185,0.0,12
C14468,1739.13388,1.0,191.98,96.0,95.98,0.0,0.25,0.083333,0.25,0.0,0,4,2000.0,978.453301,634.093114,0.0,12
C19003,708.315197,1.0,2252.32,452.32,1800.0,0.0,0.818182,0.181818,0.727273,0.0,0,12,2500.0,2155.891761,208.895886,0.1,11
C11359,2249.731727,1.0,2598.54,1941.08,657.46,0.0,1.0,0.5,1.0,0.0,0,31,9000.0,1152.945008,593.311661,0.0,12
C13743,66.73904,0.545455,0.0,0.0,0.0,325.379938,0.0,0.0,0.0,0.083333,3,0,2500.0,610.793225,110.712542,0.0,12
C15812,880.259646,1.0,831.52,609.37,222.15,0.0,0.5,0.333333,0.416667,0.0,0,20,1200.0,975.402992,229.25572,0.0,12
C14151,2033.538173,1.0,929.25,297.51,631.74,1567.042271,1.0,0.25,1.0,0.083333,1,20,3500.0,1291.31841,1843.752247,0.0,12
C10906,1948.434315,1.0,324.3,324.3,0.0,1468.08356,0.166667,0.166667,0.0,0.166667,4,4,5000.0,0.0,,0.0,12
C18336,23.126579,0.727273,213.95,0.0,213.95,0.0,0.583333,0.0,0.583333,0.0,0,7,2000.0,299.511212,120.226935,0.888889,12
C13186,2311.164692,1.0,318.85,0.0,318.85,3541.752608,0.75,0.0,0.75,0.333333,4,9,5000.0,526.713137,735.303992,0.0,12
C14658,1103.834373,0.363636,0.0,0.0,0.0,155.414239,0.0,0.0,0.0,0.333333,4,0,7000.0,4021.956752,410.666163,0.0,12
C12721,1327.653853,1.0,20.9,20.9,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1500.0,287.690115,483.2481,0.0,12
C11399,177.268927,0.636364,429.88,429.88,0.0,0.0,0.25,0.25,0.0,0.0,0,4,7000.0,1590.946442,133.273654,0.25,12
C13356,2924.640322,1.0,0.0,0.0,0.0,6817.656826,0.0,0.0,0.0,0.333333,10,0,6500.0,2455.218599,751.502763,0.0,12
C13259,0.683939,0.181818,17.7,17.7,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1500.0,18.825023,10.074393,0.0,12
C14832,976.370187,1.0,0.0,0.0,0.0,1622.255801,0.0,0.0,0.0,0.25,4,0,1600.0,3056.718074,429.217423,0.166667,12
C10874,4438.521324,1.0,591.84,109.16,482.68,564.365429,0.636364,0.181818,0.454545,0.272727,3,11,17000.0,5552.601399,1094.486286,0.0,11
C10737,5422.456378,1.0,0.0,0.0,0.0,9972.234861,0.0,0.0,0.0,0.166667,2,0,14000.0,1661.693077,1949.814235,0.0,12
C15020,38.013028,1.0,469.62,0.0,469.62,0.0,0.833333,0.0,0.833333,0.0,0,12,4000.0,744.854844,68.98672,0.4,12
C15372,3570.596193,1.0,150.46,0.0,150.46,3381.913668,0.181818,0.0,0.090909,0.272727,7,2,6500.0,1233.301038,911.267314,0.0,11
C14023,113.629276,0.272727,798.0,798.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,5000.0,4372.014696,84.491283,0.0,12
C14440,355.323994,0.636364,284.11,284.11,0.0,855.147084,0.166667,0.166667,0.0,0.166667,2,2,1500.0,1765.584677,265.343044,0.181818,12
C16662,3086.119532,1.0,1134.38,396.29,738.09,4323.275849,0.916667,0.083333,0.916667,0.166667,2,22,12000.0,1492.992521,829.092375,0.0,12
C10229,9047.621884,1.0,11188.62,6099.16,5089.46,0.0,1.0,0.75,1.0,0.0,0,151,10000.0,11994.41815,8517.258683,0.0,12
C17674,383.370294,1.0,326.74,326.74,0.0,0.0,0.25,0.25,0.0,0.0,0,3,600.0,525.776492,199.590057,0.0,12
C13116,1919.443036,1.0,0.0,0.0,0.0,5427.830151,0.0,0.0,0.0,0.333333,7,0,5500.0,2936.557193,626.771938,0.0,12
C13007,2304.087171,1.0,0.0,0.0,0.0,3511.369006,0.0,0.0,0.0,0.166667,3,0,3000.0,3004.655015,586.763635,0.083333,12
C13024,4446.40675,1.0,0.0,0.0,0.0,245.067148,0.0,0.0,0.0,0.083333,1,0,5000.0,1193.527453,2042.217585,0.0,12
C11764,2369.91046,1.0,916.22,716.4,199.82,0.0,1.0,1.0,0.083333,0.0,0,26,6500.0,795.94344,752.616787,0.0,12
C14422,1281.936062,1.0,43.0,43.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1500.0,298.266234,287.394907,0.0,12
C16012,1196.183155,0.909091,166.8,166.8,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,7000.0,1910.836556,359.989055,0.0,12
C12815,6187.219303,1.0,2029.03,1044.28,984.75,5933.125159,0.916667,0.416667,0.75,0.5,13,20,15000.0,8518.845677,1591.416385,0.0,12
C18396,42.055305,1.0,774.37,0.0,774.37,0.0,1.0,0.0,1.0,0.0,0,19,3000.0,664.956348,66.346615,0.333333,12
C10537,1191.584153,1.0,4238.79,2220.39,2018.4,0.0,1.0,0.5,1.0,0.0,0,33,10500.0,3528.728592,287.515344,0.083333,12
C18041,645.406005,1.0,0.0,0.0,0.0,929.220085,0.0,0.0,0.0,0.333333,4,0,1000.0,193.013564,310.454708,0.0,12
C16576,1406.504164,1.0,0.0,0.0,0.0,105.811869,0.0,0.0,0.0,0.083333,1,0,1500.0,278.864694,2334.712799,0.0,12
C13379,868.808006,1.0,39.83,33.5,6.33,0.0,0.166667,0.083333,0.083333,0.0,0,2,1950.0,264.721497,282.178494,0.0,12
C15239,1396.214811,1.0,3729.35,2489.35,1240.0,536.658419,1.0,1.0,0.583333,0.25,4,45,2500.0,1550.474014,363.926512,0.0,12
C18937,1572.332442,0.666667,0.0,0.0,0.0,3230.173371,0.0,0.0,0.0,0.166667,3,0,4500.0,1022.035785,328.52876,0.0,6
C17289,5.310611,0.25,234.0,0.0,234.0,0.0,0.625,0.0,0.625,0.0,0,6,1500.0,303.704799,19.894581,0.0,8
